,accident_type,day_of_week,dca_code,road_geometry,light_condition,speed_zone,severity,node_type,deg_urban_name,road_type,month,hour
0,4,1,171,5,5,100.0,0,N,RURAL_VICTORIA,ROAD,1,2.0
1,1,1,110,1,3,80.0,0,N,MELB_URBAN,ROAD,1,2.0
2,1,1,160,2,3,60.0,0,I,MELB_URBAN,ROAD,1,3.0
3,4,1,173,1,5,100.0,0,I,RURAL_VICTORIA,HIGHWAY,1,5.0
4,4,1,171,5,1,50.0,0,N,MELB_URBAN,ROAD,1,7.0
5,4,1,183,2,5,100.0,0,N,RURAL_VICTORIA,ROAD,1,4.0
6,2,1,99,2,3,50.0,0,I,MELB_URBAN,OTHER,1,0.0
7,1,1,116,2,5,80.0,0,N,MELB_URBAN,HIGHWAY,1,0.0
8,1,1,120,2,1,60.0,0,I,MELB_URBAN,ROAD,1,16.0
9,2,1,102,2,1,60.0,0,I,MELB_URBAN,ROAD,1,16.0
10,4,1,171,5,1,60.0,0,N,SMALL_CITIES,STREET,1,15.0
11,1,1,121,2,1,80.0,0,I,MELB_URBAN,ROAD,1,16.0
12,1,1,116,1,1,80.0,0,I,MELB_URBAN,ROAD,1,18.0
13,4,1,183,2,1,100.0,0,I,RURAL_VICTORIA,ROAD,1,16.0
14,8,1,174,1,1,60.0,0,I,MELB_URBAN,ROAD,1,6.0
15,4,1,171,5,1,100.0,0,N,MELB_URBAN,HIGHWAY,1,18.0
16,6,1,184,2,1,60.0,0,I,MELB_URBAN,OTHER,1,19.0
17,4,1,173,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,18.0
18,1,1,113,2,1,60.0,0,I,MELB_URBAN,ROAD,1,16.0
19,4,1,181,5,5,100.0,0,N,RURAL_VICTORIA,ROAD,1,21.0
20,1,1,120,5,1,50.0,0,N,MELB_URBAN,ROAD,1,17.0
21,1,1,99,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,20.0
22,8,2,174,2,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,10.0
23,1,1,110,1,1,80.0,0,I,MELB_URBAN,ROAD,1,8.0
24,6,1,170,5,5,100.0,1,N,RURAL_VICTORIA,ROAD,1,23.0
25,2,2,99,5,1,80.0,0,N,RURAL_VICTORIA,ROAD,1,12.0
26,1,1,140,5,3,60.0,0,N,MELB_URBAN,ROAD,1,4.0
27,4,2,183,5,1,60.0,0,N,RURAL_VICTORIA,ROAD,1,11.0
28,4,2,171,5,1,60.0,0,N,MELB_URBAN,DRIVE,1,11.0
29,4,2,181,5,1,60.0,0,N,SMALL_CITIES,DRIVE,1,12.0
30,1,2,110,1,1,100.0,0,I,RURAL_VICTORIA,HIGHWAY,1,12.0
31,1,2,147,5,1,60.0,0,N,MELB_URBAN,ROAD,1,15.0
32,1,2,113,2,1,60.0,0,I,MELB_URBAN,ROAD,1,16.0
33,4,2,173,5,1,60.0,0,N,RURAL_VICTORIA,ROAD,1,15.0
34,1,2,113,2,2,60.0,0,I,SMALL_CITIES,AVENUE,1,17.0
35,1,1,120,5,1,100.0,0,N,RURAL_VICTORIA,ROAD,1,16.0
36,8,2,170,2,1,100.0,0,I,RURAL_VICTORIA,ROAD,1,14.0
37,4,2,173,2,1,110.0,0,I,RURAL_VICTORIA,HIGHWAY,1,17.0
38,4,3,183,5,3,60.0,0,N,MELB_URBAN,DRIVE,1,4.0
39,2,3,99,5,1,60.0,0,N,MELB_URBAN,ROAD,1,9.0
40,6,3,99,5,1,80.0,0,N,MELB_URBAN,ROAD,1,10.0
41,4,3,171,2,1,60.0,0,I,MELB_URBAN,STREET,1,11.0
42,4,3,171,5,5,100.0,0,N,RURAL_VICTORIA,ROAD,1,1.0
43,4,3,173,1,1,100.0,0,I,RURAL_VICTORIA,HIGHWAY,1,8.0
44,1,3,121,1,1,60.0,0,I,MELB_URBAN,STREET,1,11.0
45,4,2,99,2,1,50.0,0,I,MELB_URBAN,AVENUE,1,20.0
46,1,3,110,1,1,80.0,0,I,MELB_URBAN,ROAD,1,14.0
47,4,3,171,5,1,60.0,0,N,RURAL_VICTORIA,DRIVE,1,13.0
48,1,3,121,2,1,60.0,0,I,MELB_URBAN,ROAD,1,15.0
49,4,2,183,5,2,100.0,0,N,RURAL_VICTORIA,OTHER,1,5.0
50,4,3,181,2,1,80.0,0,I,RURAL_VICTORIA,HIGHWAY,1,16.0
51,4,3,173,2,1,50.0,0,I,MELB_URBAN,OTHER,1,17.0
52,1,3,110,1,2,50.0,0,I,MELB_URBAN,BOULEVARD,1,20.0
